"Contract method","API request mapping","UI references (direct calls)","Availability / evidence"
"snapshots.public","/public/context","pages/HomePage.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"snapshots.team","/me/context","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"snapshots.admin","/admin/context","pages/AdminPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.getSession","/me/session","pages/ProfilePages.tsx; pages/SpectatorPages.tsx; pages/TeamManagementPage.tsx; pages/TournamentsPage.tsx; components/competition/TournamentJoinAction.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.login","/auth/login","pages/AuthPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.logout","/auth/logout","No direct UI call (may be shared/indirect)","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.requestPasswordReset","/auth/password-reset","pages/AuthPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.inspectPasswordReset","/auth/password-reset/inspect","pages/AuthLifecyclePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.resetPassword","/auth/password-reset/confirm","pages/AuthLifecyclePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.inspectEmailVerification","/auth/email-verification/inspect","pages/AuthLifecyclePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.verifyEmail","/auth/email-verification/confirm","pages/AuthLifecyclePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"auth.resendVerification","/auth/email-verification/resend","pages/AuthLifecyclePages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"account.profile","/me/account","pages/AccountPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"account.updateProfile","/me/account","pages/AccountPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
"account.changePassword","/me/account/password","pages/AccountPages.tsx","IMPLEMENTED adapter; Hono/SQL trace; live staging NOT VERIFIED"
